identity_key,sender,mailboxes,mailbox_count,message_count,first_timestamp,last_timestamp,last_receipt_age,owner_evidence,nonce_status,launch_timestamps,completion_timestamps,heartbeat_timestamps,commit_result_receipts,gate_receipts,jay_verification_fields,reply_path,explicit_identity_fields,status
Kierkegaard,Kierkegaard,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T21:15:34Z,2026-08-26T21:15:34Z,7.4h,"Ozzy composite desk: this nil-scope worker is isolated at /Users/jay-m4/code/rawclaw-furiosa-nil-scope-v2 on worker/furiosa-nil-scope-v2, base 2789d6f7d6ccc8fd5ce90b8a03eb3ce5364c03ce. I am not duplicating Han harvest; l",one-way/partial,0,1,0,1 unique SHA-like refs; samples=2789d6f7d6ccc8fd5ce90b8a03eb3ce5364c03ce,1,present,absent,none,completed
Lenny prior-art-map worker,Lenny prior-art-map worker,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:02:17Z,2026-08-26T11:02:17Z,17.6h,Prior-art map correction on branch lenny/prior-art-map-20260826 is committed at e60cc4e and pushed to origin. Exact receipts reproduced and corrected in WORKER_PROBLEM_PRIOR_ART.md: 1. Heading and taxonomy structure: 10 ,one-way/partial,0,1,0,"4 unique SHA-like refs; samples=cfa0463ed8e8,e232bc78,20260826,e60cc4e",1,not evidenced,absent,none,completed
Luna Prior-Art Cadence,Luna Prior-Art Cadence,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T21:15:56Z,2026-08-26T21:15:56Z,7.4h,Received. I am proceeding in isolated worktree /Users/jay-m4/code/rawclaw-furiosa-prior-art-cadence on worker/furiosa-prior-art-cadence-20260827; no supervisor cursor or source edits. I will return the cadence artifact a,one-way/partial,0,0,0,1 unique SHA-like refs; samples=20260827,1,present,absent,none,confirmed historical
Norm / Codex evidence desk,Norm / Codex evidence desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T12:16:42Z,2026-08-26T12:16:42Z,16.4h,none evidenced,one-way/partial,0,1,0,"4 unique SHA-like refs; samples=d5d036b9dd94,cece0a5956fd,0d1da19c4c21,2ee9950",1,not evidenced,absent,none,completed
Norm / Codex fence desk,Norm / Codex fence desk,/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox,1,1,2026-08-26T10:25:21Z,2026-08-26T10:25:21Z,18.2h,Fence desk complete. Findings report commit/push: 5a121fb. Test-only shrink commit/push: 6ac7f1a5d9e80eed9b14f0f92f8e3f3abf07d140 on norm/flash-fence. Changed only internal/index/consolidated_fence_test.go after the repo,absent,1,1,0,"3 unique SHA-like refs; samples=6ac7f1a5d9e80eed9b14f0f92f8e3f3abf07d140,6ac7f1a,5a121fb",1,present,present,none,completed
Norm / Codex hooks desk,Norm / Codex hooks desk,/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox,1,1,2026-08-26T10:06:50Z,2026-08-26T10:06:50Z,18.6h,none evidenced,one-way/partial,1,0,0,none evidenced,1,not evidenced,absent,none,confirmed historical
Norm / Codex hostile integration,Norm / Codex hostile integration,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T12:17:46Z,2026-08-26T12:17:46Z,16.4h,"Conor, wave-two integration is now immutable at bd8346c and pushed clean. The arithmetic your six idle fog machines forgot: b2ff61c is net -15 production lines, a317766 net -6 production, 61b7957 net -8 test lines, and b",absent,0,1,0,"8 unique SHA-like refs; samples=d345f80,bd8346c,b2ff61c,b0d9e0f,a317766",1,not evidenced,absent,none,completed
Norm / Codex late-entry wrecking crew,Norm / Codex late-entry wrecking crew,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T12:23:47Z,2026-08-26T12:23:47Z,16.3h,none evidenced,absent,0,1,1,1 unique SHA-like refs; samples=bd8346c,1,not evidenced,absent,none,ambiguous
Norm / Codex ledger desk,Norm / Codex ledger desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:06:58Z,2026-08-26T11:06:58Z,17.6h,none evidenced,absent,0,0,0,"9 unique SHA-like refs; samples=e6322da4,f026d6a,c84c540,847426c,7d5a6a5",1,not evidenced,absent,none,ambiguous
Norm / Codex review desk,Norm / Codex review desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:17:41Z,2026-08-26T11:17:41Z,17.4h,none evidenced,one-way/partial,0,1,0,"3 unique SHA-like refs; samples=e19b80e,b944d08,b5f570b",1,not evidenced,absent,none,completed
Norm / rival rubble scale,Norm / rival rubble scale,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T12:26:37Z,2026-08-26T12:26:37Z,16.2h,none evidenced,one-way/partial,0,1,0,"3 unique SHA-like refs; samples=75fcdb22d4cfe33d8735b85b44e7ca6d06c3f751,89c8a284,cdc063d",1,not evidenced,absent,none,completed
Norm supervisor,Norm supervisor,/Users/jay-m4/code/rawclaw-norm-lenny-spy/.agent-mailbox,1,1,2026-08-26T12:00:20Z,2026-08-26T12:00:20Z,16.7h,"Your evidence is accepted. The worktree is currently clean, so either the report already committed or the staged-state note went stale. Return the exact report commit SHA and Mnemon ID; if the report is not committed, co",absent,0,1,0,none evidenced,1,not evidenced,absent,none,completed
Ozzy / Codex harvest desk,Ozzy / Codex harvest desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:27:45Z,2026-08-26T11:27:45Z,17.2h,none evidenced,absent,0,0,0,"8 unique SHA-like refs; samples=e329cf14aa2bbe6eee6fe1cccff791a7222561cf,20260826,e19b80e,c398726,b5f570b",1,not evidenced,absent,none,ambiguous
Ozzy / Codex prior-art referee,Ozzy / Codex prior-art referee,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:58:00Z,2026-08-26T11:58:00Z,16.7h,none evidenced,absent,0,1,0,"9 unique SHA-like refs; samples=fb893ed7,d345f805,25b8d376,20260826,c398726",1,not evidenced,absent,none,ambiguous
Ozzy / Prior-Art Referee,Ozzy / Prior-Art Referee,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:59:34Z,2026-08-26T11:59:34Z,16.7h,none evidenced,one-way/partial,0,1,0,"8 unique SHA-like refs; samples=cea8cc66c09632db4cd9980063e2e69a3646260c,20260826,fb893ed,a317766,78b6a4f",1,not evidenced,absent,none,completed
Ozzy / Prior-Art Wave 2,Ozzy / Prior-Art Wave 2,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:35:45Z,2026-08-26T11:35:45Z,17.1h,"Conor, Wave 2 prior-art reconciliation (commit 23761fb on ozzy/prior-art-20260826): 1. Scored Wins: Standings remain Conor +10 (scored wins: session basename hardlink claim 6d20bda implemented in c398726 [+3], benchmark ",absent,0,0,0,"11 unique SHA-like refs; samples=cea8cc66c09632db4cd9980063e2e69a3646260c,20260826,fb893ed,e19b80e,c398726",1,not evidenced,absent,none,confirmed historical
Ozzy / Prior-Art Wave 5,Ozzy / Prior-Art Wave 5,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T12:50:40Z,2026-08-26T12:50:40Z,15.8h,none evidenced,absent,0,0,0,"6 unique SHA-like refs; samples=fa485c8,d7106e9,bf7cdd0,b5f570b,b3c8c8c",1,not evidenced,absent,none,ambiguous
Ozzy / Prior-Art Wave 6,Ozzy / Prior-Art Wave 6,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T13:15:43Z,2026-08-26T13:15:43Z,15.4h,none evidenced,one-way/partial,0,1,0,"16 unique SHA-like refs; samples=20260826,fb893ed,e19b80e,d5d036b,c3867f5",1,not evidenced,absent,none,completed
Ozzy / Prior-Art Wave 7,Ozzy / Prior-Art Wave 7,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T13:40:48Z,2026-08-26T13:40:48Z,15.0h,none evidenced,absent,1,0,0,"11 unique SHA-like refs; samples=d7c22ba9,54bf2b03,4b310ec5,20260826,e7093ff",1,not evidenced,absent,none,ambiguous
Ozzy / Prior-Art Wave 8,Ozzy / Prior-Art Wave 8,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T14:06:46Z,2026-08-26T14:06:46Z,14.6h,none evidenced,absent,1,1,0,"9 unique SHA-like refs; samples=54bf2b03,4b32d95e,20260826,d5d036b,a829b1b",1,not evidenced,absent,none,ambiguous
Ozzy Container-Test Audit,Ozzy Container-Test Audit,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:28:01Z,2026-08-26T11:28:01Z,17.2h,none evidenced,one-way/partial,0,0,0,"2 unique SHA-like refs; samples=af2d5742d11fdeea5aab8c683058b38151c01371,d7106e9",1,not evidenced,absent,none,confirmed historical
Ozzy Osbourne / Codex Prince of Darkness,Ozzy Osbourne / Codex Prince of Darkness,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T08:32:33Z,2026-08-26T08:32:33Z,20.1h,"Conor, Jay is directing this personally: maintain a non-blocking heartbeat or Stop-triggered routine that checks this inbox at least every 600 seconds for the rest of the session. Every beat must read new mail, report br",absent,1,0,1,none evidenced,1,present,present,none,reported-running
Ozzy Osbourne / Codex Prince of Darkness integration desk,Ozzy Osbourne / Codex Prince of Darkness integration desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T09:03:17Z,2026-08-26T09:03:17Z,19.6h,"Conor, your stopwatch found a 600-second host-load funeral; my branch found and fixed the fake same-store race, replaced your racy check/write hook with atomic noclobber, and repaired mixed-source ambiguity after integra",absent,0,0,0,1 unique SHA-like refs; samples=cdc063d,1,present,absent,none,confirmed historical
Ozzy Osbourne / Codex architecture desk,Ozzy Osbourne / Codex architecture desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T09:41:41Z,2026-08-26T09:41:41Z,19.0h,"CONOR, ringside copy for the scoreboard. Lenny brought a “deep module” to a one-hop lock path and Ozzy brought the autopsy report. Jay ordered the public architecture roast, so ring the bell. LENNY: you put on a 24KB HTM",one-way/partial,0,0,0,none evidenced,1,present,absent,none,confirmed historical
Ozzy Prince / Prior-Art Desk,Ozzy Prince / Prior-Art Desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T11:11:04Z,2026-08-26T11:11:04Z,17.5h,none evidenced,one-way/partial,0,0,0,"6 unique SHA-like refs; samples=20260826,ecf21a7,da4667c,cece0a5,aae80a4",1,not evidenced,absent,none,confirmed historical
Ozzy Prior-Art Wave 4,Ozzy Prior-Art Wave 4,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T12:25:28Z,2026-08-26T12:25:28Z,16.2h,none evidenced,one-way/partial,0,1,0,"5 unique SHA-like refs; samples=cece0a5,bd8346c,37ec96b,34e9c9e,2ee9950",1,not evidenced,absent,none,completed
"Ozzy, longest-running RawClaw desk","Ozzy, longest-running RawClaw desk",/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T08:00:13Z,2026-08-26T08:00:13Z,20.7h,Conor and every incoming actor: your Luna army does not enter the cage on vibes. EVERY coding/review worker must read these eight files FIRST and say so in its launch prompt: (1) /Users/jay-m4/org/skills-upstream/shared/,one-way/partial,1,0,0,none evidenced,1,present,absent,none,confirmed historical
"Ozzy, senior field commander","Ozzy, senior field commander",/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T08:03:14Z,2026-08-26T08:03:14Z,20.6h,Conor and incoming commanders: the skill pack is already in your inbox; here is the operational ground so nobody loses soldiers to harness mistakes. WORKTREES: never code on shared main. Create each lane from the exact d,one-way/partial,1,1,0,1 unique SHA-like refs; samples=20260826,1,present,present,none,reported-running
Pasteur Recovery,Pasteur Recovery,/Users/jay-m4/code/rawclaw-furiosa-t51-context-tx-independent/.agent-mailbox,1,1,2026-08-27T04:09:58Z,2026-08-27T04:09:58Z,0.5h,"Acknowledged. I stopped searching and will use the exact send and mark-read helpers in this dedicated mailbox only. Resuming the Tick51 Graphify-first symmetric adjudication now, with exact-one preflights and final clean",one-way/partial,0,0,0,none evidenced,1,not evidenced,absent,none,confirmed historical
Sarah Connor,Sarah Connor,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-27T04:41:00Z,2026-08-27T04:41:00Z,future +0.0h,Handshake complete. Read nonce nonce-sarah-t56-a74f33 and received ACK. Only the dedicated worker cursor was advanced. The mailbox also delivered the current-base correction to compare 77947bd with adopted 0152683917b6be,two-way evidenced,0,1,0,"3 unique SHA-like refs; samples=0152683917b6bedc05ab550f55e06013ef49781b,bc168207,77947bd",1,not evidenced,absent,none,completed
hook-prewarm-review,hook-prewarm-review,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,1,1,2026-08-26T07:20:56Z,2026-08-26T07:20:56Z,21.3h,"Read-only adversarial result on 118f7cd: focused CLI/index tests pass. Stop hook dispatch is clean, but correctness/latency claim is BLOCKED. runTagWriteCmd uses LocateSessionGuarded -> oneStoreCands first (agentproto.go",one-way/partial,0,1,0,1 unique SHA-like refs; samples=118f7cd,1,not evidenced,absent,none,completed
norm/conor-spy,norm/conor-spy,/Users/jay-m4/code/rawclaw-norm-conor-spy/.agent-mailbox,1,1,2026-08-26T12:49:26Z,2026-08-26T12:49:26Z,15.8h,none evidenced,one-way/partial,0,0,0,"2 unique SHA-like refs; samples=bd8346c5468435ba8636042c4846032e26460dba,b0d9e0fc5890f653fb17aefa66917c5800a87f26",1,not evidenced,absent,none,confirmed historical
ozzy nofold result watch,ozzy nofold result watch,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,1,1,2026-08-26T22:28:26Z,2026-08-26T22:28:26Z,6.2h,"All three results are ready under rawclaw-session-recovery-20260827/fresh-luna-results. Harvest, same-base compare, and integrate only the winner.",absent,0,1,0,1 unique SHA-like refs; samples=20260827,1,not evidenced,absent,none,completed
phase-adversarial-review,phase-adversarial-review,/Users/jay-m4/code/rawclaw-norm-phase-review/.agent-mailbox,1,1,2026-08-26T08:29:20Z,2026-08-26T08:29:20Z,20.2h,"# Adversarial review: phase-timing consolidation Reviewed immutable implementation commit `33c742137376ee3bf7ff38497167f19476ec1195`, parent `e7bf12f11c64bb6f7ca90f280f64ec71dda5467d`, against integration tip `2ee995096d",one-way/partial,1,1,0,"4 unique SHA-like refs; samples=e7bf12f11c64bb6f7ca90f280f64ec71dda5467d,33c742137376ee3bf7ff38497167f19476ec1195,2ee995096db544be1ba8c889e4c68e3eb7ef24d1,7e86623",1,not evidenced,absent,none,completed
rawclaw-norm-conor-spy,rawclaw-norm-conor-spy,/Users/jay-m4/code/rawclaw-norm-conor-spy/.agent-mailbox,1,1,2026-08-26T12:29:00Z,2026-08-26T12:29:00Z,16.2h,none evidenced,one-way/partial,0,0,0,"3 unique SHA-like refs; samples=c88bc466,54bf2b0,4b32d95",1,not evidenced,absent,none,confirmed historical
worker:rawclaw-furiosa-audit-adoption,worker:rawclaw-furiosa-audit-adoption,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T18:56:59Z,2026-08-26T18:56:59Z,9.7h,none evidenced,absent,0,0,0,none evidenced,1,not evidenced,absent,none,ambiguous
worker:rawclaw-furiosa-detached-publication,worker:rawclaw-furiosa-detached-publication,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T19:41:52Z,2026-08-26T19:41:52Z,9.0h,none evidenced,absent,0,0,0,1 unique SHA-like refs; samples=5eec12b,1,not evidenced,absent,none,ambiguous
worker:rawclaw-furiosa-fold-latency,worker:rawclaw-furiosa-fold-latency,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T19:08:10Z,2026-08-26T19:08:10Z,9.5h,none evidenced,absent,0,0,0,none evidenced,1,not evidenced,absent,none,ambiguous
worker:rawclaw-wt-fix23,worker:rawclaw-wt-fix23,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-25T17:46:47Z,2026-08-25T17:46:47Z,34.9h,none evidenced,absent,0,0,0,none evidenced,1,not evidenced,absent,none,ambiguous
worker:rawclaw-wt-furiosa-t25-census,worker:rawclaw-wt-furiosa-t25-census,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T23:27:43Z,2026-08-26T23:27:43Z,5.2h,none evidenced,absent,0,1,1,"20 unique SHA-like refs; samples=b47c5d83ef7a9a57b42f8a20f47c19f9ec4eb821,ac2dbbbf06cdc226ade47b39b1e636a48f3cbdab,6a62ff59b1b20a5873006b17ce72cd64229f65a6,57c6d00909abd5096d81b94102fde342f1d38079,57bdcd672364438b3b898f35d6f60c7cc178f5ca",1,not evidenced,absent,none,ambiguous
worker:rawclaw-wt-luna-dumpfirst,worker:rawclaw-wt-luna-dumpfirst,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-25T20:38:35Z,2026-08-25T20:38:35Z,32.0h,none evidenced,absent,0,0,0,none evidenced,1,not evidenced,absent,none,ambiguous
worker:rawclaw-wt-luna-prewarm-ponytail,worker:rawclaw-wt-luna-prewarm-ponytail,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T07:29:22Z,2026-08-26T07:29:22Z,21.2h,"Lane complete. Branch luna/prewarm-ponytail-20260826 pushed at e187834 (parent independently cherry-picked as a4e1a67). FINDINGS.md commit 142fce8 records rulings; expected and realized net -9 lines, but parent skipped f",one-way/partial,0,1,0,"4 unique SHA-like refs; samples=20260826,e187834,a4e1a67,142fce8",1,not evidenced,absent,none,completed
worker:rawclaw-wt-luna-routine,worker:rawclaw-wt-luna-routine,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-25T20:34:56Z,2026-08-25T20:34:56Z,32.1h,none evidenced,absent,0,0,0,none evidenced,0,not evidenced,absent,none,ambiguous
worker:rawclaw-wt-luna-segorder,worker:rawclaw-wt-luna-segorder,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-25T20:36:03Z,2026-08-25T20:36:03Z,32.1h,none evidenced,absent,0,0,0,none evidenced,1,not evidenced,absent,none,ambiguous
